identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
maybe bathroom,1,13,1,10.784383176121054
tight space,2,9,1,10.314897892819832
proper air,3,8,1,9.899860393540989
comfortable temperature,3,3,1,11.314897892819832
own toilet,3,2,1,11.899860393540989
sbsolutely disturbing,1,0,1,0.0
electric heater,4,2,1,11.484822894262146
bad night,14,15,1,6.770577376596023
superior room,1,100,1,7.840966704487421
first morning,25,7,1,7.0336117824298166
second morning,11,7,1,8.218036353567244
busy hotel,2,20,1,9.162894799374783
close walking,1,0,1,0.0
orthopaedic firm,1,2,1,13.484822894262146
limited selection,4,7,2,10.677467972204541
better breakfast,7,12,2,9.092505471483385
personal choice,2,5,2,12.162894799374783
plastic bag,1,2,1,13.484822894262146
rubbish bin,1,1,1,14.484822894262146
just walking,6,0,1,0.0
perhaps seating,1,1,1,14.484822894262146
local restaurant,3,2,1,11.899860393540989
simple map,2,1,1,13.484822894262146
great help,6,2,1,10.899860393540989
first time,25,18,3,7.256004203766265
different staff,10,8,1,8.162894799374783
poor english,4,1,1,12.484822894262146
many guest,2,9,1,10.314897892819832
official price,2,7,1,10.677467972204541
good offer,21,1,1,10.092505471483385
little warm,23,1,1,9.961260938205132
dry clothes,1,1,1,14.484822894262146
extra teabags,6,1,1,11.899860393540989
not brewing,17,0,1,0.0
small side,44,11,6,8.150922157708708
hot weather,9,1,1,11.314897892819832
big window,9,5,3,10.577932298653627
cleaner bug,2,1,1,13.484822894262146
lower price,6,7,1,9.092505471483385
t cool,27,2,1,8.729935392098676
smaller side,2,11,1,10.025391275624848
shower ran,6,1,1,11.899860393540989
old toothpaste,9,1,1,11.314897892819832
general instruction,3,1,1,12.899860393540989
semi evacuation,1,1,1,14.484822894262146
electrical short,2,1,1,13.484822894262146
subsequent acknowledgement,1,1,1,14.484822894262146
small discount,44,1,1,9.025391275624848
little time,23,18,1,5.79133593676282
small side,44,11,6,8.150922157708708
major issue,8,8,2,9.484822894262146
pungent smell,1,9,1,11.314897892819832
t work,27,3,2,9.14497289137752
little noisy,23,2,1,8.961260938205132
farthest room,1,100,1,7.840966704487421
uncomfortable bed,3,14,1,9.092505471483385
worn looking,2,0,1,0.0
double room,11,100,5,6.7034631807374865
double room,11,100,5,6.7034631807374865
called mini,1,2,1,13.484822894262146
mini bar,1,2,1,13.484822894262146
bare fridge,1,2,1,13.484822894262146
many time,2,18,1,9.314897892819832
added cost,2,3,1,11.899860393540989
fewer facility,1,2,1,13.484822894262146
great deal,6,5,2,10.577932298653627
t think,27,1,1,9.729935392098676
good value,21,6,5,9.829471065649592
upgraded room,1,100,1,7.840966704487421
fantastic hotel,1,20,1,10.162894799374783
